구분,유저,챗봇
,출산 전보다 생리양이 많아졌어요,생리를 정상적인 주기로 잘 하신다면 배란이 정상적으로 이루어지고 있다는 뜻입니다. 생리 전후 냄새가 나는 것은 생리양이 적어서 혈액이 질 속에 오래 고여 있다가 나오면 아무래도 냄새가 많이 나게 됩니다. 출혈 기간이 아닌데 냄새가 나고 가려운 경우에는 질염이 원인이 될 수 있습니다. 간혹 생리대 알레르기도 외음부 가려움의 원인이 되기도 합니다. 그리고 생리양이 많으시다면 자궁 근종 등의 혹이 있을 수도 있고 빈혈이 생길 수 있으므로 산부인과에서 진찰을 받아보시는 것이 좋겠습니다.
,모유수유 도중에 예방접종을 할 수 있나요,풍진과 B형 간염 예방 주사 모두 모유 수유 중 맞으셔도 아기에게는 해가 없으니 안심하시기 바랍니다. 모유를 통해 아기에게 전달되는 양이 매우 적고 아기의 면역력을 증강시킬 수 있다는 보고들도 있으니 걱정 마시고 예방 접종을 맞으세요.
,생리가 끝났는데 출혈이 보여요,"아기 때문에 병원가시기가 쉽지 않으시지요. 경우에 따라서 배란기 때 출혈이 있을 수 있습니다. 어떤 분들은 매번 생리주기 때마다 배란기 출혈이 있으신 분이 있고 어떤 분들은 한두 번 경험하시는 경우가 있습니다. 초음파 검사 등을 통해서 자궁에 이상이 없다는 것을 확인 한 경우에 생리 외의 출혈은 지속되지 않는 한 호르몬 균형의 변화에 따른 것으로 판단할 수 있고 이런 경우 반복되지 않는 한 크게 걱정하지 않으셔도 됩니다. 다만 생리 외의 출혈이 너무 자주 있거나 출혈량이 많아서 생활이 불편하거나 빈혈을 초래할 정도가 되면, 병원에서 호르몬 치료를 받으실 필요가 있습니다. 일단은 더 지켜보시도록 하고요, 여러 번 반복되면 병원에 가서 진찰받아보시기 바랍니다. 그리고 분만 후 일 년 내에 정기 검진 꼭 받으시기 바랍니다."
,출산 후 오로가 안나와요,"보통 오로라고 하는 것은, 출산 후 나오는 분비물로서, 그 내용은 탈락막, 혈구, 자궁내막세포, 그리고 세균 등으로 구성되어 있으며, 첫 수일 내에는 혈액성 오로가 나오고, 3~5일 후부터는 점액성 오로가 나오며, 10일 후부터는 양이 현저히 적은 백혈구가 포함된 백색 오로가 나오기 시작합니다. 그러므로 심한 출혈 및 복통 등의 이상 증상이 없을 경우에는 개인차가 있을 수 있으므로 너무 걱정하시지 않아도 좋을 듯합니다. 3주까지는 모유 수유의 양과 산모의 자궁 상태, 식사 습관, 보양식의 유무에 따라서 따라 오로의 양과 기간이 다양할 수 있습니다. 많은 출혈이나 염증이 없다면 지켜보시면 됩니다."
,수유 중 치과 치료를 받아도 되나요,출산하신 지 6주가 지나셨군요. 치아 상태가 더 악화되기 전에 빨리 치과에서 치료를 받으시는 것이 좋겠습니다. 수술을 할 때 마취제를 사용하고 항생제를 2∼3일 정도 먹는 것이 모유 수유 중인 아기에게 모두 다가는 것이 아닙니다. 더욱이 그렇게 2∼3일 정도 짧게 사용하는 것은 계속 모유 수유를 하셔도 아기에게 큰 영향을 주지 않으므로 걱정하지 않으셔도 되겠습니다.
,출산 시 회음부 절개를 꼭 해야하나요,"출산 시 반드시 회음 절개를 해야 하는 것은 아닙니다. 그러나 서양인에 비해 골반의 크기가 상대적으로 작은 동양인은 회음 절개가 필요한 경우가 대부분입니다. 회음부 절개 시 장단점을 간단하게 말씀드리면, 회음부 절개를 하지 않은 경우 아기 머리가 나오면서 회음부 열상이 불규칙하게 생김으로 인해 봉합이 어렵고 통증이 더 많을 수 있습니다. 또한 회음부 이외의 열상, 특히 방광이나 요도 부위열상이 발생하면 심각한 문제가 발생할 수 있습니다. 반대로 회음부 절개가 항문 괄약근 손상의 위험을 증가시킬 수 있다는 연구결과도 있습니다. 현재 미국산부인과 학회의 가이드라인에 따르면 회음부 절개를 반드시 해야 된다 또는 하지 말아야 된다는 원칙은 없으며 회음부 절개여부는 산모 개개인의 특성이나 상황에 따라 결정하도록 되어 있고, 이는 산부인과 의사선생님 판단에 따를 수밖에 없습니다."
,모유수유 중에도 자궁 경부암 예방접종을 해도 되나요,"자궁경부암 예방접종은 성관계에 노출이 되지 않고, 병변이 없는 경우에 효과가 좋습니다. 우선적으로 자궁암 검사를 하고 접종하시는 것을 권합니다. 수유 하는 데는 문제를 일으키지는 않습니다. 현재 외국에서는 12세 이상의 소아부터 접종을 시키지만 이는 외국의 경우성관계의 노출이 좀 더 우리보다 빠른 관계로 이른 연령이 좀 더 권장되는 것이고 발표된 논문의 경우를 볼 때 현재 백신의 경우 약 7년 정도의 관찰 성과에 대한 결과 논문이 발표되고 있는 것으로 알고 있습니다. 이에 우리나라의 성적인 정서와 논문 발표 결과를 토대로, 개인적으로는 고등학교 졸업 후나 대학생이 되었을 때 권하나 나이는 의사와 환자 개개의 경향에 따라 다르므로 참조하십시오."
,임신 중에 공항검색이 통과 괜찮나요,"공항 검색기 통과 시에 방사선 노출이 있지만, 매우 적은 용량이기 때문에 태아에 미치는 영향은 거의 없습니다. 그러나 자주 방사능에 노출되는 것은 바람직하지 않습니다. 공항 검색기 통과 시에 임산부인 것을 밝히면, 공항 검색기 통과를 제외 한 검사를 받으실 수 있습니다."
,대사포진에 걸렸는데 약을 먹어도 아기에게 안전한가요,"임신으로 인해 많이 피곤하실 텐데 대상포진 때문에 고생이 많으시군요. 아마 통증 자체도 힘들지만, 아기에 대한 걱정이 더 크실 것 같습니다. 대상포진은 수두와는 달린 애기에 대한 기형의 위험은 드물지요. 더군다나 27주에 걸리신 거니까 아기가 잘못될까 하는 걱정은 안 하시는 것이 좋겠습니다. 대상포진에 처방되는 항바이러스제제는 아기에게 안전합니다. 바르는 연고도 있지만 먹는 약을 드시고 계시니 꼭 발라야 하는 것은 아닙니다. 진통제도 드셔도 괜찮은데 아마 임신 중이라서 안 드신 것 같네요. 지금쯤이면 통증이 많이 경감되셨지요?2-3주내로 치료되는데 임신부는 치료가 약간은 더딜 수 있습니다. 너무 걱정하시지 마시고 쉬시면서 몸과 마음의 여유를 찾으시기 바랍니다."
,변비가 심한데 유산균제를 많이 먹어도 되나요,유산균제는 식품이므로 많이 드셔도 됩니다. 영양제의 복용은 일반인들과 큰 차이는 없습니다. 다만 임신 초기에는 엽산 그리고 임신 중기 이후에는 철분제를 반드시 드셔야 되는 것이 다른 거지요. 또 식사를 잘하신다면 영양제를 반드시 복용해야 하는 것은 아닙니다. 시중에 나와 있는 종합 비타민제나 임신부용 영양제 중에서 선택하시면 무리가 없습니다.
,임신 중독증은 아닌데 다리가 엄청 부었어요,"임신을 하게 되면 복부의 자궁이 커지면서 혈액순환이 잘 안됩니다. 그러다 보니 심장에서 가장 먼 종아리와 발, 손등의 정맥내 혈류의 정체가 자주 있고, 이 부위에 부종이나 정맥류 등이 생길 수밖에 없지요. 고혈압이 동반된 임신중독증이 아니라면 너무 걱정 안 하셔도 됩니다. 다리를 올리고 누우시거나, 마사지 등을 하시면 도움이 됩니다."
,비만인 산모인데 아이에게 안좋은 영향을 미칠 수 있나요,"산모의 비만은 임신주수가 진행함에 따라 여러 합병증이 뒤따를 수 있습니다. 정상적인 체중의 산모도 임신주수가 증가함에 따라 복부 및 골반, 허리통증을 호소하는 분이 많으며 산모의 과체중은 이를 더 두드러지게 합니다. 임신성 당뇨를 발현하는 경우도 있고 임신 후기로 갈수록 혈압이 오른다든지, 임신중독증을 동반하기도 하며 태아 성장속도에서 비정상적으로 크거나 오히려 작은 경우가 있으며, 태내의 아이의 활동도가 떨어지는 경우도 있습니다. 고 위험 임신으로 분류되어 다른 산모 분들보다는 짧은 간격으로 자주 진료를 보게 되실 겁니다. 질 내부 및 골반 안쪽도 지방 조직이 자리를 잡게 되어 산도가 넉넉하지 않아 자연 분만이 힘든 게 사실이며, 제왕절개 역시 복부지방층으로 인해 다소 의료진이 부담스러워할 수 있는 수술이기도 하지요. 체중 증가목표를 정해두시고(일반 산모와는 다른 목표치를 갖게 됩니다), 식이 및 운동을 의료진과 잘 상담하신 후 이를 생활화하시는 것이 중요합니다."
,제왕절개술을 하게 되면 수술자국이 계속 남아있게 되나요,제왕절개 수술 자국은 아무래도 계속 남지요. 사람에 따라 어떤 분들은 수술자국이 두껍고 진하게 남고 어떤 분들은 가는 선으로 눈에 띄지가 않습니다. 이것은 수술방법의 차이라기보다는 각개인 마다의 피부 특성의 차이입니다. 수술 자국을 최소화하시려면 수술 3-4주 후부터 흉터 억제를 위한 연고나 테이프들을 붙이시는 것이 좋습니다. 담담 선생님께 상의하시면 안내받을 수 있을 것입니다.
,임신 중 어떤 운동이 좋을까요,임신 전부터 해오시던 운동인 경우는 임신 중에 그대로 하셔도 좋습니다. 그렇지만 임신 중에 새롭게 시작하는 운동인 경우에는 무리하지 않게 하셔야 되지요. 수영은 임신부에게 좋은 운동입니다. 17주인 지금도 좋은 시기이고요. 자유영이든 배영이든 본인이 하실 수 있는 한도 내에서 지치지 않게 천천히 하시는 게 중요합니다. 아니면 임신부를 위한 체조나 요가 등 임신부를 위한 프로그램을 스포츠 센터에서 많이 진행하는 것으로 알고 있습니다. 가볍게 30분씩 걸으시는 것도 좋습니다. 배가 뭉치거나 출혈이 있는 경우에는 운동을 하시면 안 됩니다. 임신 중에는 혈액순환이 잘 안 되서 임신 전보다 다리의 부종이 더 있을 수밖에 없습니다. 직장에서 서있는 경우가 많다면 더욱 그렇지요. 밤에는 다리를 올리고 누워계시기 바랍니다.
,임신중독증은 언제쯤 안심 할 수 있을까요,"임신 중독증은 임신 20주 이후부터 만삭 시까지 임신이 진행하면서 호발 합니다. 첫째 임신에서 임신 중독증이 있었다면, 정상이었던 산모 보다 둘째 때 재발의 위험이 높습니다. 현재 임신 30주라면, 1-2주마다 병원을 방문하셔야 합니다. 단백뇨는 산모의 신장(콩팥)이 손상을 받은 것을 의미합니다. 혈압과 단백뇨의 정도에 따라서 산모와 태아의 성장에 영향을 줍니다. 주기적인 혈압과 단백뇨 check가 필수적입니다. 염분 섭취를 과도하게 줄이거나 단백질 섭취를 과도하게 늘리는 것은 이 질환의 예방에 도움을 주지 못합니다."
,임신중 철분제 꼭 복용해야 하나요,"임신과 산욕기에 생기는 빈혈의 원인은 크게 두 가지인데요. 첫 번째는 철 결핍입니다. 임신 시 태아의 성장과 모체를 위해 평균 800mg 의 철분이 요구되는데, 대부분의 경우 산모는 이보다 낮은 저장철을 가지고 있습니다. 산모의 몸에 철이 충분히 없다고 해도 태아는 필요한 철을 가져가기 때문에 빈혈이 생기게 되죠. 두 번째는 급성 실혈입니다. 자연분만을 통한 경우도 일정량의 출혈이 있고 제왕절개를 하게 된다면 수술 중 출혈이 더 많겠죠. 특히, 태반이상이나 쌍태아 임신, 임신중독증 등 고위험군 산모는 출혈 위험성이 더 높기 때문에 분만 전 빈혈 교정이 꼭 필요합니다. 빈혈은 증상도 중요하지만 혈액검사를 통해 혈색소 수치를 확인해서 진단하게 됩니다. 현재 혈색소 수치가 정상이라도 임신을 유지하는 동안 빈혈이 생길 수 있고, 출혈이 예상되는 분만을 앞두고 있기 때문에 모든 산모에게 철분제 복용을 권고합니다. 또, 분만 후 혈색소 수치가 교정된 후라도 저장철을 보충하기 위해 3개월 간 철분제를 복용하도록 설명하고 있고요. 철분제는 위장관계 부작용이 있기 때문에 먹기 힘든 약에 속하지만, 현재 철분제 종류가 다양하게 나와 있고 이런 위장관계 부작용을 감소시킨 제재도 있습니다. 정맥주사로 맞는 비경구제재도 있고요. 산모가 철분제 부작용이 심하지 않다면 자신에게 맞는 철분제를 찾아 복용하시는 것이 바람직하다고 생각됩니다."
,아기집은 어제부터 보이나요,"수정되어도 초음파로 확실하게 아기집을 확인하려면 수정 후 약 3주 정도 지나야 합니다. 처음 초음파상 아기집이 안 보이는 경우는 대부분이 아직 5주가 안 된 이른 시기여서 그렇습니다. 배란이 예정보다 늦게 되는 경우가 많답니다. 자궁외 임신이란 착상 위치가 자궁 안쪽이 아닌 다른 부위인 경우를 말합니다. 난관인 경우가 가장 흔합니다. 아기집이 아직 안 보이는 경우 물론 자궁외 임신이라서 그럴 수 있지만 자궁외 임신 자체가 그리 흔하지 않은 질환이고, 대부분이 시기가 일러서 보이지 않는 경우이므로 너무 걱정하지 마시고 다음 진료 때 확인하시면 되겠습니다."
,임신초기에 출령이 있어요,"임신 초기 출혈로 주사를 맞으셨다면 아마 호르몬(프로게스테론) 주사였을 것 같습니다. 임신 초기 출혈은 그리 드문 현상은 아니지만 일단 이상 질출혈 및 심한 복부 통증은 절박 유산이라 하여 흔히들 말하는 유산기에 해당된다고 보시면 됩니다. 이중 실질적인 유산으로 이어지는 경우는 그리 많지는 않으나, 물처럼 흐르는 핑크 혹은 붉은색 혈은 위험 신호가 되기도 합니다. 병원에서 별다른 이상 확인 후 갈색 혹은 회색 양상으로 많지 않은 양으로 나오면 안정 취하시길 권유하며, 양이 늘거나 복통을 동반할 때는 산전 진찰을 받으시길 권유 드립니다."
,임신중 칼슘제를 섭취하면 안되나요,"임신 중 칼슘 요구량은 임신전이나 임신 시, 수유 시에도 1,200mg으로 같습니다. 임신 중에는 장에서 칼슘의 흡수가 점차 증가하여 체내 축적량도 증가합니다. 임신 중 약 30 gm의 칼슘이 체내에 저장되며 그 중 대부분은 태아에게 필요합니다. 이 정도의 칼슘은 엄마의 전체 칼슘의 2.5%에 불과하며, 엄마의 뼈에 저장된 칼슘은 태아 성장에 즉시 이용이 됩니다. 그러므로 임신 중에는 식사를 정상적으로 하는 경우에는 특별히 칼슘을 따로 추가하지 않아도 됩니다. 칼슘이 많이 든 식품에는 우유, 치즈, 요거트, 두유, 두부, 참깨, 녹색채소 등이 있습니다."
,태동이 있을 때 마다 아파요,"자궁 안에 있는 태아는 양수에 떠 있는 상태라고도 이야기할 수 있습니다. 양수 안에 떠 있는 아기는 활동(태동)하게 됩니다. 양수는 태아가 활동 할 수 있는 공간을 제공한다고도 할 수 있습니다. 양수의 양은 임신 28-34주까지 꾸준히 증가하였다가 그 이후는 서서히 감소합니다. 임신 중 반기 전후는 태아의 체적(body volume)에 비하여 양수 용적이 상대적으로 많은 시기이고 이 시기에는 태동도 발로 차는 운동(kicking) 등의 활동이 왕성합니다. 태동의 왕성한 것은 크게 문제가 되지 않으며, 태동의 횟수 감소 등이 갑자기 발생하는 것이 문제가 됩니다. 임신 후 반기로 접어들면 태동도 발로 차는 운동(kicking)에서 몸을 굴리는 운동(rolling)으로 바뀌어 태동의 격렬함이 줄어들 것으로 사료됩니다."
,강아지를 키우고 있는데 톡소플라즈마 감염과 관련이 있을까요,"톡소플라즈마 감염은 강아지보다는 주로 고양이의 배설물을 통해 오염된 음식을 섭취함으로써 발생합니다. 태아 톡소플라즈마 감염은 임신주수가 진행하면서 감염률이 높아지지만, 태아감염으로 인한 중증도는 임신 초기일수록 심합니다. 그러나 궁극적으로 감염은 오염된 음식이므로 강아지가 밖에서 톡소플라즈마 감염이 된 음식을 섭취하였다면 감염원이 될 수는 있습니다.
그러므로 고양이나 강아지가 밖에서 아무 음식이나 먹지 않도록 해야 하며, 배설물을 치울 때는 반드시 장갑을 끼고, 강아지나 고양이를 만진 후에는 반드시 손을 깨끗하게 씻고, 음식을 조리할 때도 깨끗이 손을 씻어야 합니다. 날고기는 피하는 것이 좋고, 채소 등도 깨끗이 씻어서 먹어야 합니다. 대부분의 톡소플라즈마 감염은 무증상이므로 혈액검사로 항체 유무를 확인하는 것은 도움이 될 수 있습니다."
,당수치가 높에 나오면 단것을 먹으면 안되나요,고령임신은 말씀하신 대로 고위험군으로 임신성 당뇨도 잘 오므로 식사 조절 및 가벼운 운동(식후 산책)을 하시면서 건강한 임신 생활을 유지하시는 것이 좋습니다. 식사조절은 병원에서 하라는 대로 반드시 지키셔야 하며 과일과 당이 많은 음식은 많이 드시지 않도록 하셔야 합니다.
,기능성 화장품이 태아에게 영향을 미치나요,"어떤 화장품이 중요한가가 아니라 화장품을 구성하는 성분 중에 태아에 기형을 일으킬 수 있도록 일부에서 보고되는 파라벤 등의 내분비계 장애물질 때문에 대한 걱정 때문으로 보입니다. 우선은 화장품의 성분을 조금 따져보시는 것이 좋을 것으로 보입니다. 현재는 저용량의 물질들이 어떤 식의 작용을 하는지는 동물 실험들의 결과는 있지만, 인간에서는 아직 완전히 확실하지 않으므로 임신 초기에는 조금 조심하는 것이 좋아 보인다고 할 수 있습니다."
,임신중인데 담배를 못끊었어요,"임신 중 흡연은 저체중 태아(태아 성장 장애)의 분만, 조산, 자영유산, 태반 조기박리, 최악의 경우에는 태아와 영아 사망을 가져올 수 있습니다. 지금이라도 담배를 끊으신다면 그나마 다행입니다. 현재 태아의 상태에 대한 것은 초음파 등의 검사를 통해 주의 깊은 산전 진찰을 할 필요가 있습니다. 앞으로는 담당 산부인과 선생님과 상의하여 더욱 적극적인 진료를 받으면서 문제가 있을 때, 신속한 대처를 해야 할 것으로 보입니다."
,치질 수술해도 모유수유 할 수 있을까요,"치질 수술은 부위마취(척수 마취 또는 경막외마취, 미측 마취)를 시행하며 사용하는 마취약제가 수유에 영향을 주지 않는 것으로 알려졌고, 일반적으로 마취약제는 24시간 내에 대사되어 밖으로 배출됩니다. 그동안 유축기로 모은 모유를 수유하고, 수술 후에 항생제, 진통제의 사용은 수유에 영향을 주지 않는 약제를 사용하면 되겠습니다. 임신과 출산 후에 외성기는 비대하고 충혈된 상태이기 때문에 구태여 이 시기에 회음절개와 소음순 수술을 함께 받는 것은 바람직하지 않습니다. 치질은 임신 중과 산후 직후에 가장 악화되어 있다가 그 이후에 점차 회복되기 때문에 응급수술이 아니면 치질 수술은 산욕기가 끝나는 산후 6-8주가 바람직합니다."
,제왕절개와 자연분만 후 산후조리법에 차이가 있나요,임신은 산모의 몸에 많은 변화를 가져옵니다. 일반적으로 생각하는 체중 증가 외에도 호르몬 농도의 변화와 심장이나 신장 등 장기의 변화도 포함됩니다. 이런 변화들이 임신 전의 상태로 돌아오는 기간이 산욕기이죠. 따라서 자연분만을 하건 제왕절개를 하건 산욕기 동안 산후 조리는 중요합니다. 산후 조리를 의학적인 차원에서 보면 산후 출혈이나 감염 등을 잘 감시하고 예방하는 것이고요. 민간요법으로 알려진 머리를 감지 않는다든가 찬바람을 쐬지 않는다든가 하는 내용은 의학적으로 검증된 바는 없습니다. 하지만 오랜 시간 동안 경험적으로 전해지는 방법이니 무시할 수는 없겠죠. 또 이미 이전 출산 경험으로 중요성을 느끼셨을 거고요. 임신과 출산으로 지쳐 있던 몸에 충분한 영양을 공급하며 휴식을 취하도록 하시고 환경의 변화와 호르몬의 영향으로 인해 우울해진 마음을 털어내는 것도 중요합니다.
,산후조리 할 때 복대를 바로 착용해야 하나요,"산 후 복대착용은 본인 스스로 편하다고 생각하면 하시면 되고, 불편하면 안 하시면 됩니다. 꼭 해야 하는 것은 아닙니다. 출산 후 칫솔질을 바로 한다고 풍치가 오지는 않습니다. 현재 빈혈은 없지만, 임신 중 철분제 복용의 목적은 빈혈 예방이므로 될 수 있으면 출산 시까지 계속 하루 한 알 드시고, 출산 후 혈액검사에서 빈혈 수치에 따라서 출산 후 얼마 동안 얼마만큼의 철분제 복용을 하는 것이 좋은지는 주치의 선생님께 설명 들으시면 됩니다."
,쌍둥이 출산 시 자연분만 할 수 있나요,"우선 일반적으로 꼭 쌍태아가 아닐 경우라도 자연분만 시 힘을 제대로(젊은 산모분에 비해)주지 못해 난산하는 하는 경우가 상대적으로 더 많습니다. 쌍태아를 임신 하신 경우에는, 태아의 위치에 따라, 수술 여부를 결정할 수 있습니다. 예를 들면,좁을 때 첫 아이가 거꾸로 있는 경우(둔위)에는 수술을 원칙으로 하고, 첫째와 둘째 아이가 정상적으로 있을 (두정위)때는 자연 분만을 하기도 하였으나, 현재는 산모 나이, 골반 상태, 태반 상태, 양수 양 등 여러 상황을 참조로 수술 여부를 결정하기도 합니다. 특히 쌍태아인 경우에는 단태아보다 분만 후 자궁 수축이 상대적으로 더 나쁠 수 있기 때문에 이로 인한 출혈이 더 많을 수 있으므로 더 조심하기도 합니다.( 쌍태아의 경우) 자궁이 더 크기 때문에, 단태아보다 조기 진통이 더 잘 올 수 있으며, 이럴 경우 단태아보다 몸무게가 적게 나갈 수 있기 때문에 더 조심하시는 게 좋다는 말씀입니다. 서울대병원 등에서 정상 분만을 하고 있습니다."
,수유로 인한 유두상처 어떻게 관리해야 하나요,"유두 열상은 모유 수유 중 흔히 있을 수 있는 증상으로 비판텐 연고는 수유로 인한 유두 갈라질 시 흔히 처방되며 수유 직후에 바르시도록 합니다. 유두 열상은 아기가 젖을 물지 않고 유두만 물고 빠는 경우나 젖을 너무 오래 빠는 상황에서 더 심해지니 유의하시길 바랍니다.
유두에서 염증 때문에 고름 양상의 분비물이 보이지는 않는지, 유방의 피부가 붉게 달아오르거나 열감은 없는지, 수유 후에도 지속되는 유방울혈 및 통증 등 유선염이 동반되지 않는지 체크하시는 것도 중요합니다.
수유 시 아기 입에 아구창이 있지는 않은지 수시로 확인해보셔서 이로 인한 유선의 칸디다 감염이 전파되지 않도록 합니다. 수유하지 않을 때는 유두 보호기를 사용하여 유두의 끝이 옷이나 브래지어에 닿지 않도록 하는 것도 도움이 될 수 있습니다. 물론 유두 갈라진 부위가 수유 시 통증이 심한 경우에는 착용을 하시고 수유를 하시는 것도 한 방법입니다. 성공하시길 바랍니다."
,"자궁경부암 검사를 받았는데, 바이러스가 나왔데요","인유두종 바이러스에 감염되면 2년 내에 92%에서 인체의 면역 반응으로 바이러스가 자연 소실이 되며 5~20%에서 일시적인 이형성증과 같은 전구암의 세포 변화를 보이지만 10여 년에 걸쳐 2~4%만이 침윤성 암으로 발전된다고 합니다. 귀하는 악성도가 아주 높은 바이러스는 아니지만 추적 검사는 필요합니다. 3개월 후에 검사에서 특별한 문제가 없다면 6개월에 한 번씩 검사하면 될 것입니다. 자궁경부암을 많이 일으키는 16, 18번 바이러스를 예방하는 자궁경부암 예방접종도 받는 것이 좋을 것 같습니다."
,제왕걸개 후 자연분만 가능한가요,"첫째 아이 제왕절개수술을 하고 둘째 아이 질식분만 하는 것을 브이백 분만이라고 합니다. 브이백 분만이라고 해서 특별한 분만 방법이 있는 것은 아닙니다. 일반적인 질식분만과 차이가 없습니다. 다만, 일반적인 질식분만에 비해서 위험도가 증가하는데 그것은 이전에 제왕절개 했던 자궁 부위가 진통 중 벌어질 수가 있습니다. 이러한 자궁파열은 1,000건당 7건(0.7%)에서 가능하고 이로 인한 태아 뇌손상이나 태아 사망 등의 태아 유병율은 1,000건당 0.4-1(0.1%)건에서 있을 수 있습니다. 그러나 이러한 위험도는 적은 확률이기 때문에 전 세계적으로 산부인과학회에서는 제왕절개를 한 번 하였고 부모가 질식분만을 원하는 경우에는 질식분만을 시도해도 되는 것으로 보고 있습니다. 그러므로 이러한 위험도에 대해서 부부가 같이 잘 상의해 보시는 것이 좋습니다. 브이백 분만을 시도하시거나 또는 상담을 받아보시려면 브이백 분만을 하는지 병원에 문의해보고 찾아가시기 바랍니다. 브이백 분만의 위험성 때문에 브이백 분만을 하는 병원이 많지는 않습니다."
,약을 먹고 젖을 떼면 안좋은건가요,"혹시 젖 삭히는 약을 먹으면서 수유를 갑작스레 딱 끊으신 건 아니신지요?
일반적으로 수유를 중단하기 전에 젖을 짜는 간격을 늘여가면서 젖량을 줄여 가셔야 부작용이 적습니다. 물론 이때는 젖을 완전히 다 짜내시지 말고 통증이 가실 정도로만 하시는 게 좋고, 수유 전에 입으셨던 몸에 맞는 브래지어를 착용하세요. 당연히 아기가 빠는 등의 자극을 주어선 안 되겠지요. 참고로 수유를 갑자기 중단하였을 때 유방울혈이 심해지고 많은 통증과 경우에 따라 피부발적 및 열감 등의 유선염을 동반하기도 합니다. 물론 추가 증상이 있다면 유방 마사지 및 항생제 복용 등의 치료가 필요로 한 경우도 있으니, 혹시 열이 동반될 때 병원에 내원하시길 권유 드립니다. 추가로 현재 젖 끊는 약으로 사용되기도 하는 팔로델은 약 자체가 오심, 구토, 두통 외 저혈압 등의 부작용으로 젖 삭히는 목적으로 처방은 FDA(미국식품의약국)에서 허용되지 않고 있습니다."
,출산 2개월 후 질 출혈이 있어요,"분만 후 자궁 및 임신 중에 일어났던 생리적 변화가 임신 전 상태로 회복되는 시기를 산욕기라고 하며, 대개 6주가량이 소요되는 것으로 보고 있습니다. 현재 출산한 지 8주가 되었고 그동안에 부적절한 오로 등의 증상이 없다가 성관계 후에 소량의 혈액이 섞인 것과 같은 질 분비물이 보였다고 하면 자궁경부 내막의 외번(의학적으로 cervicaleversion, 자궁경부 내막 이외 막으로 노출되는 것) 또는 자궁경부의 미란(의학적으로 cervicalerosion, 자궁경부 외막이 벗겨짐)과 같은 현상에 기인하거나 자궁경부 및 질의 염증에 기인할 수도 있습니다. 위 경우는 분만 후에 정도 차이는 있지만, 출산 후 일부 산모가 겪는 현상입니다. 너무 걱정을 안 하셔도 됩니다. 산부인과 병원을 방문하여 산부인과 내진 및 자궁경부암 검진, 자궁경부 및 질 분비물 균 검사를 받아보시기 바랍니다."
,출산 후 탈모를 줄일 수 있는 방법을 알려주세요,"탈모는 출산 후에 흔히 일어나는 현상이니 너무 걱정하지 않으셔도 됩니다. 다만, 너무 스트레스를 받으신다면 우선은 자극적인 모발 샴푸 사용이나 파마와 염색 등은 삼가세요. 보습이 잘되고 영양 상태를 좋게 해주는 모발 전용을 사용하시는 것도 좋을 것으로 보이며 모발 마사지를 해보시는 것도 나쁘지는 않습니다."
,"출산 후 자녀계획이 없는데, 어떤 피입법이 좋을까요",가장 좋은 것은 남편이 하는 정관수술입니다. 국소마취로 가능하며 또한 나중에 원하는 경우 복원을 쉽게 하실 수 있기 때문입니다. 여성이 하는 나팔관 결찰수술은 전신 마취하에복강경으로 할 수 있습니다.그 외 선택할 수 있는 방법은 자궁 내 피임장치(루프)를 많이 선택하시고요. 위팔에 하는 피임기구나 피임약 복용은 단기간 피임하실 때 선택하게 됩니다. 아무래도 장기간의 피임은 남편 정관수술이나 자궁 내 피임장치를 권합니다. 남편 수술은 비뇨기과를 가셔야 하고 피임장치의 삽입은 산부인과로 가시면 외래에서 곧바로 받으실 수 있습니다.
,출산 후 호박달인 물을 어제 먹어야 하나요,"「산모에게 늙은 호박이 좋다.」라는 구전은 호르몬의 변화가 정상으로 돌아온 뒤, 즉 출산 후 한 달이 지나서도 배뇨에 이상이 있거나 다리 쪽 부종이 심한 경우에 적용한 것에서 비롯된 것이라고 볼 수 있습니다. 유의해야 할 것은 출산 직후 생기는 부종은 신장이 나빠서가 아니라 임신 중 피부에 축적된 수분 때문입니다. 분만이 다가오면 임신부의 몸은 출혈과 수분 손실을 대비하기 위해서 호르몬의 작용으로 충분한 수분을 보관합니다. 그리고 아기를 낳고 나면 몸 안의 호르몬이 갑자기 줄어들면서 수분이 밖으로 빠져나가게 됩니다. 이는 더는 수분을 잡아줄 호르몬이 없기 때문입니다. 산후에 몸 안에 넘치는 수분은 약 2~3리터 정도에 이릅니다. 이 수분은 2주 내에 대부분 저절로 빠져나가게 됩니다. 늙은 호박은 이뇨작용을 돕는 것으로, 출산 직후 복용하면 생리적으로 기능이 활성화된 신장에 오히려 더 부담을 주게 됩니다. 실제 산후 호박복용 때문에 부작용이 종종 나타나고 있습니다. 굳이 호박을 복용하고자 하신다면 적어도 한 달 정도는 지난 후가 적합하다고 봅니다."
